final_id,group_id,start_id,freq,text
-1,6397,0,151, me feel sad
-1,4204,1,118, me feel at peace
-1,5156,2,80, the colors used
113,6336,3,13, it has an angry look to the face
6,386,4,6, me feel disgusted
-1,4087,5,31, it is beautiful
-1,3908,6,5, the colors are depressing
-1,5687,7,24, which is hilarious
-1,5405,8,24, me feel contentment
-1,5123,9,5, which is gross
-1,3955,10,2, the dark colors and the crowded painting look a bit scary
-1,5487,11,2, women sit under shade
-1,6136,12,4, they are doing
-1,4562,13,25, the woman's face
0,1,14,4, he had a hard life
0,1,15,3, the men's bodies
-1,6429,16,3, the sky is dark
-1,6411,17,19, i love all of the bright colors
-1,5628,18,16, me laugh
-1,5306,19,25, i love this painting
-1,6321,20,25, the man's face
-1,6289,21,4, what is happening
-1,4127,22,12, the view in the painting looks calm and quiet
2,41,23,5, something is wrong
-1,5031,24,11, i love it
-1,5382,25,8, the woman's expression
-1,5861,26,8, he is dying
120,628,27,3, the dark colours feel grim
-1,5074,28,3, a storm is coming
-1,4207,29,3, that annoys me
-1,5015,30,3, it will end
-1,3715,31,2, they are going to do something bad
-1,4975,32,2, everything about the naked women is disgusting in this
-1,6215,33,2, it's creepy
-1,5489,34,2, people are fighting
-1,4179,35,2, there is a lot of chaos here
-1,4381,36,2, that and the odd dark colors makes this a bit creepy looking
-1,5418,37,2, you to feel fear in this picture
-1,4607,38,2, that has gotten completely dirty
42,702,39,2, me feel odd
-1,4511,40,2, this painting inspires fear
-1,5580,41,2, the house looks to be in bad shape
-1,5157,42,2, i find it ugly
-1,5381,43,2, a bad storm approaching
-1,4482,44,2, it creeps me out
-1,6078,45,2, i don't know what this is
-1,6197,46,2, something is hiding in the darkness
-1,4415,47,10, this look like a great summer day
-1,5947,48,3, the man is worried
-1,5992,49,4, i look at this painting
-1,3391,50,2, her head bowed
-1,4755,51,10, the people's faces
-1,3494,52,8, they are having fun
-1,4132,53,6, it looks so real
-1,5102,54,6, she is naked
-1,3799,55,5, he is smiling
-1,6381,56,9, this look very realistic
-1,3871,57,10, me feel excited
-1,4674,58,6, the woman looks lively and happy
-1,5471,59,7, me feel amazed
39,311,60,7, the architecture is beautiful
-1,3642,61,8, peaceful scene between a mother and child brings good feelings
-1,5707,62,6, me amused
-1,3378,63,2, the man looks to be lost and forlorn
-1,5443,64,2, it looks grotesque
-1,4200,65,2, the man's severed head
-1,5077,66,2, it has a frown
-1,3283,67,2, the man looks large and scary
-1,5529,68,2, the severed head on the platter is really disgusting and disturbing
-1,4713,69,2, that has died
-1,5003,70,2, the person in this painting looks very sad and cold
-1,4621,71,2, the man look evil
0,1,72,2, i feel for him
-1,3375,73,2, she's in trouble
-1,4739,74,2, the color are dark and gloomy
0,1,75,2, the men watching
-1,3608,76,2, she is staring down
-1,5693,77,2, the landscape is beautiful
-1,4491,78,2, the family peoples are afraid of something
-1,5535,79,2, this is like something from a horror movie
-1,6279,80,2, this or things like this are really considered art
-1,4655,81,2, me fear for her life
-1,5247,82,2, this is really strange to me
-1,3380,83,2, the clouds look foreboding
-1,3615,84,2, it's hard to look at
-1,4429,85,2, the colors are angry
-1,3905,86,2, the woman's back
-1,5279,87,14, me feel content
254,53,88,8, the image is captivating
89,17,89,6, they have
-1,6358,90,6, the mix of colors is exciting
-1,6205,91,5, it looks fun
-1,4060,92,5, people are dancing
-1,6303,93,6, this beautiful woman is quite pleasing to look at
-1,6299,94,4, it feel cozy and cheerful
-1,5473,95,7, the woman's eyes
-1,6151,96,11, the man's head
-1,4561,97,5, the painting is so real
-1,5865,98,5, the man is wearing
-1,5125,99,3, the sky is quite gloomy
-1,4083,100,4, it is religious
-1,5032,101,3, the yellow flowers are beautiful
-1,4959,102,3, it is very arousing
-1,4191,103,2, the woman's legs
-1,3676,104,3, the nature scene is peaceful
260,153,105,4, calm water gives a sense of peace
20,1548,106,4, it's like looking at a nice view during a sunset
-1,3839,107,5, the woman's dress
-1,4359,108,3, i would like to explore
-1,4353,109,5, the sun is setting
4,799,110,3, lots of detail going on
-1,3627,111,4, the flowers are really pretty
-1,4647,112,4, the flowers are colorful and well designed in the vase
-1,3409,113,6, me smile
-1,4047,114,3, the man's eyes
9,87,115,4, you look at it
-1,3403,116,8, the man's expression
-1,4807,117,2, they are fading away
-1,3463,118,2, the person's eyes
-1,4983,119,2, the woman holding the child
-1,3279,120,4, a little child's painting
90,30,121,2, friendly animals show the peacefulness
-1,5781,122,5, the sky is calm
-1,3247,123,4, the various colors of flowers make this scene calm and lovely
-1,5207,124,2, the artist put into this piece
-1,3536,125,3, the man's hair
17,21,126,4, the bouquet of flowers look very pretty
-1,5119,127,2, lots to see
-1,4307,128,2, a child's fairy tale story book
-1,3999,129,2, the man takes a rest
-1,3695,130,2, a great place to relax all day in the sun
-1,4351,131,2, looks so at peace reading her book
38,307,132,2, the orange glow captures a very warm feeling
-1,6162,133,3, i love a day at the beach
-1,5134,134,2, the art work is awesome
23,64,135,2, a woman's body
-1,5985,136,3, the detail is extraordinary
-1,5945,137,2, i want to know the story behind it
189,400,138,2, the shading creates a good amount of detail in this painting
38,307,139,2, the sun is raiseing
-1,5807,140,2, the image is a beautiful depiction of nature at its finest
-1,4797,141,2, the girl's head
2,41,142,2, that stands out
-1,5741,143,2, you feel love
-1,4727,144,2, i love the reflection in the water
-1,5090,145,2, the kids face
-1,5439,146,3, details are incredible
-1,5673,147,6, which is exciting
-1,4907,148,2, there are many people
-1,6407,149,2, me want to join them
-1,4851,150,2, the yellow sky contrasts well with the white and purple mountains
-1,4669,151,4, a group of people enjoying each other
-1,5953,152,3, this man is standing
-1,4112,153,2, the shoreline is nice and calm
-1,4699,154,3, the view delicate view of the sea and the soft colors give me a feeling of calm
1,3,155,3, he is dressed in
-1,5286,156,3, this is simple
-1,6046,157,2, all is well
-1,5711,158,2, the contrast between the bold colors of the flowers and the dark background is excellent
2,41,159,2, the painting is calming
32,69,160,2, men's clothing
-1,3690,161,5, the level of detail is breathtaking
-1,5431,162,2, the technique used to paint this
-1,5423,163,2, eye catching
45,5765,164,3, the scene depicted
-1,4000,165,2, she has to wait
-1,3395,166,2, it is bright
-1,4847,167,2, the people strolling
-1,5723,168,2, they are happy and proud of
-1,3287,169,2, the color choices are stunning
-1,4999,170,3, the clouds and bright sky give it a nice feel
-1,5313,171,2, there appears to be a battle scene
-1,3807,172,4, the womans face
-1,5537,173,3, he loves
-1,6183,174,3, what is going on
-1,6259,175,2, what looks to be art
-1,3535,176,3, i was a child
-1,5014,177,3, the woman's hair
-1,4645,178,2, the men sitting down
-1,4175,179,2, they are in motion
-1,4277,180,2, black halo's over their heads
-1,5158,181,2, that seem to coordinate together well
-1,3742,182,2, birds flying over it
164,5081,183,3, this man appears very important
-1,4889,184,2, the detail put into painting this man
-1,3343,185,2, the calm water and lush trees are peaceful
-1,4675,186,2, the clouds are reflected well in the water
-1,5607,187,2, nature's beauty
-1,4685,188,2, this shows nothing
0,1,189,3, the colors are very dull and bland
-1,5432,190,3, what's to come
-1,3431,191,2, pretty red flowers stand out nicely against the lighter colored background wall
-1,4711,192,3, content looking at this
-1,3995,193,2, some many kids playing
-1,6135,194,3, a nice day to walk in a park
-1,3345,195,2, which is satisfying
-1,4933,196,2, the light and shadow is phenomenal
277,732,197,4, the ocean is calm
-1,4551,198,4, i was there
59,339,199,2, someone standing
